time,washer_x,washer_y,washer_z,dryer_x,dryer_y,dryer_z
1701541447879651402,0.07845,9.13980,4.04034,0.07845,9.06134,5.06023
1701541447985042804,0.23536,9.29670,4.04034,0.07845,9.02212,5.02100
1701541448090465205,0.15691,9.17902,4.11879,0.07845,9.02212,5.02100
1701541448195881604,0.27459,9.02212,4.11879,0.11768,9.02212,5.06023
1701541448301358003,0.23536,9.13980,4.15802,0.03923,9.06134,5.06023
1701541448406758403,0.27459,9.29670,4.00111,0.03923,9.06134,5.02100
1701541448512215802,0.07845,8.98289,4.15802,0.11768,9.06134,5.02100
1701541448617620201,0.19613,9.25748,3.96189,0.07845,9.06134,5.02100
1701541448723036600,0.07845,9.13980,4.04034,0.07845,9.02212,5.02100
1701541448828444000,0.27459,9.25748,4.04034,0.07845,9.06134,5.06023
1701541448934061398,0.11768,8.82598,4.11879,0.07845,9.10057,5.02100
1701541449039670796,0.07845,9.06134,4.19725,0.07845,9.06134,5.02100
1701541449145060193,0.15691,9.13980,3.96189,0.07845,9.02212,5.02100
1701541449250451590,0.19613,9.10057,4.00111,0.07845,9.06134,5.02100
1701541449355811987,0.19613,9.21825,4.00111,0.07845,9.06134,5.02100
1701541449461232384,0.07845,9.02212,4.00111,0.07845,9.10057,5.02100
1701541449566646781,0.23536,9.17902,3.96189,0.03923,9.02212,5.02100
1701541449672197177,0.15691,9.21825,4.00111,0.03923,9.06134,5.02100
1701541449777567575,0.07845,8.98289,4.04034,0.07845,9.10057,5.02100
1701541449883017971,0.23536,9.17902,3.92266,0.07845,9.06134,5.02100
1701541449988367369,0.27459,9.25748,4.04034,0.07845,9.02212,5.02100
1701541450093813764,0.11768,9.33593,3.92266,0.03923,9.06134,5.06023
1701541450199189159,0.07845,9.13980,4.11879,0.03923,9.02212,5.02100
1701541450304777552,0.19613,9.17902,4.00111,0.07845,9.02212,5.06023
1701541450410220947,0.27459,9.37516,3.96189,0.07845,9.06134,5.06023
1701541450515641342,0.15691,9.17902,4.04034,0.07845,9.06134,5.06023
1701541450621223735,0.23536,8.82598,4.35415,0.07845,9.06134,5.02100
1701541450726615130,0.27459,9.37516,3.92266,0.03923,9.06134,5.09946
1701541450832239524,0.07845,8.98289,4.07957,0.03923,9.06134,5.02100
1701541450937600919,0.15691,9.21825,4.11879,0.07845,9.06134,5.06023
1701541451043061313,0.11768,9.25748,3.88343,0.07845,9.02212,5.06023
1701541451148434705,0.11768,9.13980,4.07957,0.11768,9.06134,5.02100
1701541451253978097,0.07845,9.37516,3.80498,0.11768,8.98289,5.02100
1701541451359508489,0.15691,9.10057,4.19725,0.07845,9.10057,5.02100
1701541451464889881,0.15691,9.33593,3.80498,0.07845,9.10057,5.06023
1701541451570261274,0.11768,9.06134,4.00111,0.11768,9.06134,5.02100
1701541451675667666,0.00000,8.90444,4.23647,0.07845,9.02212,5.02100
1701541451781194058,0.15691,9.37516,4.00111,0.11768,9.02212,5.02100
1701541451886546451,0.07845,9.10057,4.15802,0.07845,9.06134,5.02100
1701541451992162842,0.07845,8.98289,4.11879,0.07845,9.10057,5.02100
1701541452097524234,0.15691,9.37516,4.04034,0.11768,9.02212,5.02100
1701541452202967624,0.31381,9.10057,4.00111,0.07845,9.02212,5.02100
1701541452308338014,0.15691,9.17902,4.15802,0.07845,9.06134,4.98178
1701541452414713398,0.15691,9.06134,4.07957,0.07845,9.06134,5.06023
1701541452520115789,0.11768,9.10057,4.04034,0.11768,9.02212,5.02100
1701541452625483179,0.15691,9.17902,4.00111,0.07845,9.06134,5.06023
1701541452731101568,0.11768,9.10057,3.96189,0.07845,9.06134,4.98178
1701541452836477958,0.15691,8.90444,4.15802,0.11768,9.02212,5.02100
1701541452942084347,0.11768,9.29670,4.11879,0.11768,9.06134,5.02100
1701541453047486737,0.11768,9.02212,4.19725,0.07845,9.10057,5.02100
1701541453152967125,0.27459,9.17902,4.00111,0.07845,9.10057,5.06023
1701541453258341513,0.07845,9.10057,4.15802,0.03923,9.10057,5.02100
1701541453363814900,0.11768,9.06134,4.11879,0.07845,9.10057,5.02100
1701541453469242288,0.07845,9.13980,4.11879,0.03923,9.10057,5.02100
1701541453575006674,0.35304,9.45361,3.84421,0.07845,9.06134,5.02100
1701541453680484061,0.07845,9.25748,4.04034,0.03923,9.06134,5.02100
1701541453785853449,0.11768,9.17902,4.07957,0.07845,9.02212,5.02100
1701541453891288837,0.23536,9.13980,4.07957,0.07845,9.06134,5.02100
1701541453996632225,0.11768,9.10057,4.00111,0.03923,9.06134,4.98178
1701541454102161612,0.15691,9.33593,3.96189,0.07845,9.06134,5.02100
1701541454207547997,0.11768,9.10057,4.15802,0.03923,9.13980,4.98178
1701541454312993383,0.07845,9.21825,4.00111,0.07845,9.02212,5.02100
1701541454418437768,0.11768,9.29670,3.96189,0.07845,9.06134,4.98178
1701541454524122152,0.00000,9.25748,3.92266,0.03923,9.06134,4.98178
1701541454629698537,0.11768,9.45361,3.68730,0.03923,9.10057,5.09946
1701541454735116922,0.03923,8.98289,4.15802,0.07845,9.06134,5.02100
1701541454840522308,0.07845,9.06134,4.04034,0.07845,9.10057,4.98178
1701541454945889694,0.15691,9.13980,4.00111,0.07845,9.10057,5.02100
1701541455051322079,0.11768,9.02212,4.04034,0.03923,9.06134,5.02100
1701541455156672463,0.11768,9.25748,4.00111,0.07845,9.06134,5.02100
1701541455262364844,0.03923,8.94366,4.04034,0.11768,9.13980,5.09946
1701541455367858227,0.11768,9.37516,3.84421,0.07845,9.06134,5.02100
1701541455473443609,0.15691,9.37516,3.80498,0.07845,9.06134,5.06023
1701541455578802993,0.07845,9.02212,4.31493,0.07845,9.06134,5.02100
1701541455684376375,0.19613,9.21825,3.88343,0.03923,9.10057,4.98178
1701541455789837758,0.03923,9.10057,4.07957,0.03923,9.10057,5.02100
1701541455895239142,0.15691,9.13980,4.00111,0.11768,9.06134,5.02100
1701541456000626525,0.03923,8.98289,4.11879,0.03923,9.06134,5.06023
1701541456106006908,0.03923,9.13980,4.07957,0.07845,9.06134,5.02100
1701541456211447289,0.07845,9.10057,4.11879,0.07845,9.02212,4.98178
1701541456316797671,0.03923,9.25748,3.96189,0.07845,9.06134,5.02100
1701541456422229052,0.07845,8.90444,4.19725,0.07845,9.06134,4.98178
1701541456527582433,0.19613,9.10057,4.11879,0.07845,9.06134,5.09946
1701541456633025814,0.11768,9.10057,4.00111,0.07845,9.10057,5.02100
1701541456738377195,0.07845,9.13980,4.00111,0.07845,9.02212,5.06023
1701541456843868576,0.19613,9.10057,4.00111,0.07845,9.06134,5.06023
1701541456949241957,0.27459,9.10057,4.23647,0.11768,9.10057,5.06023
1701541457054852337,0.19613,9.37516,4.15802,0.07845,9.02212,5.02100
1701541457160224716,0.19613,8.98289,4.00111,0.07845,9.06134,5.06023
1701541457265601095,0.03923,9.13980,4.11879,0.07845,9.06134,5.06023
1701541457371175472,0.11768,9.17902,4.04034,0.07845,9.06134,5.02100
1701541457476548851,0.15691,9.06134,4.15802,0.07845,9.02212,5.02100
1701541457582159229,0.07845,9.13980,4.19725,0.07845,9.02212,5.06023
1701541457687509608,0.03923,9.06134,4.04034,0.07845,9.06134,5.02100
1701541457792958986,0.23536,9.13980,3.88343,0.03923,9.10057,5.13868
1701541457898340365,0.07845,8.98289,4.11879,0.07845,9.02212,4.98178
1701541458003833744,0.15691,9.25748,4.00111,0.07845,9.06134,5.06023
1701541458109238122,0.03923,9.13980,4.00111,0.07845,9.06134,5.02100
1701541458214857497,0.15691,9.13980,4.07957,0.11768,9.02212,5.06023
1701541458320271874,0.11768,9.10057,3.96189,0.03923,9.06134,5.06023
1701541458425695250,0.39227,9.21825,4.15802,0.07845,9.06134,5.06023
1701541458531208626,0.15691,8.94366,4.23647,0.07845,9.10057,5.06023
1701541458636647003,0.07845,9.02212,4.31493,0.07845,9.06134,5.06023
1701541458742186378,0.11768,9.41438,3.88343,0.11768,9.06134,5.06023
1701541458847577755,0.07845,9.21825,4.07957,0.07845,9.06134,5.02100
1701541458953053131,0.19613,9.17902,4.00111,0.11768,8.98289,5.02100
1701541459058406508,0.07845,9.13980,4.00111,0.03923,9.02212,5.02100
1701541459163906881,0.11768,9.10057,4.11879,0.07845,9.02212,5.02100
1701541459269261256,0.23536,9.29670,3.96189,0.07845,9.06134,5.02100
1701541459374856629,0.23536,8.82598,4.11879,0.07845,9.02212,5.02100
1701541459480323003,0.15691,9.06134,3.96189,0.07845,9.06134,5.02100
1701541459585972376,0.31381,9.02212,4.23647,0.07845,9.02212,4.98178
1701541459691666748,0.07845,9.13980,4.04034,0.03923,9.06134,5.02100
1701541459797028123,0.11768,9.10057,4.07957,0.03923,9.06134,5.02100
1701541459902498497,0.23536,9.17902,4.04034,0.07845,9.06134,5.06023
1701541460007862871,0.00000,9.06134,4.07957,0.11768,9.10057,5.02100
1701541460113471242,0.07845,9.41438,4.04034,0.11768,9.06134,5.06023
1701541460218864614,0.11768,9.02212,4.07957,0.07845,9.02212,5.02100
1701541460324451985,0.23536,8.94366,4.23647,0.07845,9.10057,5.02100
1701541460429849357,0.07845,9.13980,4.04034,0.07845,9.06134,5.02100
1701541460535241729,0.07845,9.17902,4.11879,0.07845,9.06134,5.06023
1701541460640631101,0.15691,9.17902,4.11879,0.11768,9.06134,5.02100
1701541460745997473,0.07845,9.13980,4.04034,0.07845,9.06134,5.02100
1701541460851433845,0.15691,9.25748,3.92266,0.07845,9.02212,5.02100
1701541460956813217,0.31381,8.98289,4.27570,0.07845,9.10057,5.09946
1701541461064331576,0.11768,9.29670,3.76575,0.07845,9.02212,5.02100
1701541461169827945,0.23536,9.25748,3.84421,0.07845,9.02212,5.06023
1701541461275191315,0.07845,8.94366,4.27570,0.07845,9.06134,5.02100
1701541461380570685,0.15691,9.13980,3.88343,0.07845,9.06134,5.06023
1701541461485954055,0.11768,8.98289,4.11879,0.07845,9.02212,5.02100
1701541461591413424,0.03923,9.21825,4.15802,0.07845,9.06134,5.02100
1701541461696812794,0.23536,9.29670,4.00111,0.07845,9.10057,5.06023
1701541461802248164,0.00000,9.21825,4.00111,0.07845,8.98289,5.06023
1701541461907635533,0.15691,9.13980,3.92266,0.07845,9.13980,4.98178
1701541462013094903,0.39227,9.25748,3.96189,0.07845,9.02212,5.06023
1701541462118536270,0.03923,9.17902,4.07957,0.03923,9.06134,5.02100
1701541462224125636,0.11768,9.25748,3.92266,0.07845,9.06134,5.02100
1701541462329673003,0.15691,9.13980,4.00111,0.03923,9.06134,5.02100
1701541462435051371,0.15691,9.21825,3.84421,0.03923,9.06134,5.06023
1701541462540433738,0.11768,9.21825,4.00111,0.11768,9.02212,5.06023
1701541462645804106,0.11768,9.29670,3.96189,0.07845,9.06134,4.98178
1701541462751834470,0.03923,9.57129,3.64807,0.07845,9.13980,5.02100
1701541462857255837,0.07845,9.17902,4.00111,0.07845,8.98289,5.02100
1701541462962755204,0.11768,9.21825,4.07957,0.03923,9.06134,5.02100
1701541463068165571,0.11768,9.06134,4.00111,0.07845,9.10057,5.06023
1701541463173675935,0.07845,9.10057,4.15802,0.03923,9.06134,5.02100
1701541463279064301,0.23536,9.25748,3.92266,0.07845,9.02212,5.02100
1701541463384430666,0.03923,9.13980,4.04034,0.11768,9.02212,5.02100
1701541463489856031,0.31381,9.25748,4.04034,0.07845,9.06134,5.06023
1701541463595236397,0.15691,9.10057,4.04034,0.07845,9.02212,5.02100
1701541463700628762,0.07845,8.90444,4.00111,0.07845,9.10057,5.06023
1701541463805976127,0.19613,8.98289,4.15802,0.07845,9.06134,4.98178
1701541463911418492,0.15691,9.17902,4.00111,0.07845,9.06134,5.02100
1701541464016784858,0.11768,9.13980,4.04034,0.03923,9.10057,4.98178
1701541464122249221,0.03923,9.29670,3.96189,0.03923,9.06134,5.06023
1701541464227629584,0.07845,9.21825,3.92266,0.07845,9.13980,5.02100
1701541464333048947,0.11768,8.98289,4.31493,0.07845,9.10057,5.02100
1701541464438436310,0.03923,9.17902,4.07957,0.07845,9.06134,4.98178
1701541464544266670,0.15691,9.10057,4.11879,0.07845,9.10057,5.02100
1701541464649748033,0.19613,9.10057,3.96189,0.11768,9.06134,5.02100
1701541464755096396,0.07845,9.25748,4.04034,0.07845,9.06134,5.02100
1701541464860497759,-0.03923,8.90444,4.11879,0.07845,9.02212,5.02100
1701541464965927122,0.11768,9.21825,4.00111,0.07845,9.06134,5.02100
1701541465071369485,0.00000,9.33593,4.11879,0.07845,9.06134,5.06023
1701541465177447841,0.07845,9.17902,3.96189,0.07845,9.06134,4.98178
1701541465282898202,0.23536,9.33593,3.84421,0.03923,9.06134,5.06023
1701541465388295563,0.11768,9.10057,4.11879,0.03923,9.06134,5.06023
1701541465493734923,0.15691,9.13980,4.00111,0.07845,9.06134,5.06023
1701541465599119284,0.19613,9.13980,4.07957,0.03923,9.10057,5.02100
1701541465704705644,0.11768,9.17902,3.88343,0.03923,9.10057,5.02100
1701541465810107005,0.11768,9.10057,4.27570,0.07845,9.06134,5.06023
1701541465915470366,0.11768,9.10057,4.04034,0.07845,9.06134,5.02100
1701541466021048725,0.23536,9.06134,4.27570,0.07845,9.06134,5.02100
1701541466126413084,0.15691,9.33593,4.00111,0.03923,9.10057,5.06023
1701541466232113441,0.07845,8.98289,4.07957,0.07845,9.06134,5.02100
1701541466337451800,0.19613,9.17902,4.04034,0.07845,9.06134,5.06023
1701541466442953158,-0.07845,9.25748,4.19725,0.11768,9.02212,5.02100
1701541466548328516,0.15691,9.02212,4.07957,0.07845,9.06134,5.02100
1701541466653764875,0.27459,9.17902,4.27570,0.03923,9.02212,4.98178
1701541466759120234,0.15691,9.02212,4.04034,0.07845,9.06134,5.02100
1701541466864650591,0.19613,9.17902,4.07957,0.07845,9.02212,5.06023
1701541466970020950,0.15691,9.17902,3.96189,0.07845,9.06134,5.02100
1701541467075397309,0.07845,9.25748,4.11879,0.07845,9.10057,5.02100
1701541467181210663,0.11768,9.21825,4.04034,0.03923,9.06134,5.06023
1701541467286576019,0.11768,9.17902,4.07957,0.03923,9.10057,5.06023
1701541467392149374,0.31381,8.98289,4.07957,0.03923,9.06134,5.02100
1701541467497494731,0.23536,9.02212,4.07957,0.03923,9.02212,5.06023
1701541467602957087,0.15691,9.29670,3.96189,0.03923,9.06134,5.02100
1701541467708301444,0.07845,9.06134,4.11879,0.07845,9.06134,5.06023
1701541467813725800,0.15691,9.29670,4.04034,0.07845,9.10057,5.06023
1701541467919104157,0.11768,9.17902,4.04034,0.07845,9.06134,5.02100
1701541468024647512,0.15691,9.10057,3.96189,0.07845,9.10057,5.02100
1701541468130038866,0.19613,9.21825,4.07957,0.03923,9.02212,5.02100
1701541468235398220,0.00000,8.94366,4.27570,0.03923,9.06134,5.02100
1701541468341032573,0.15691,9.17902,4.07957,0.03923,9.10057,5.06023
1701541468446424927,0.11768,9.17902,4.00111,0.07845,9.06134,5.02100
1701541468552062280,0.11768,9.21825,3.96189,0.07845,9.02212,5.06023
1701541468657445634,0.15691,9.21825,4.07957,0.07845,9.02212,5.06023
1701541468762896988,0.11768,9.10057,4.07957,0.07845,9.06134,5.02100
1701541468868263342,0.11768,9.13980,4.00111,0.07845,9.06134,5.06023
1701541468973654697,0.27459,9.33593,3.84421,0.03923,9.06134,5.02100
1701541469079016051,0.19613,8.94366,4.19725,0.07845,9.02212,5.02100
1701541469184374403,0.15691,9.29670,3.88343,0.11768,9.06134,5.06023
1701541469289788755,0.11768,9.25748,3.92266,0.07845,9.10057,5.09946
1701541469395133107,0.07845,9.13980,4.11879,0.07845,9.06134,5.06023
1701541469500504459,0.15691,9.21825,4.00111,0.03923,9.06134,5.02100
1701541469605875811,0.03923,9.13980,4.11879,0.07845,9.10057,5.02100
1701541469711332163,0.11768,9.33593,3.92266,0.07845,9.10057,5.06023
1701541469816690515,0.07845,8.66908,4.31493,0.07845,9.02212,5.02100
1701541469922222866,0.19613,9.06134,4.11879,0.07845,9.06134,5.06023
1701541470027608218,0.07845,9.06134,4.07957,0.07845,9.06134,5.06023
1701541470134109561,0.07845,9.06134,4.07957,0.07845,9.10057,5.02100
1701541470239646910,0.15691,9.25748,3.96189,0.11768,9.02212,5.02100
1701541470345043260,0.07845,9.10057,4.07957,0.11768,9.02212,5.06023
1701541470450436609,0.15691,9.06134,4.11879,0.03923,9.10057,5.02100
1701541470555831959,0.23536,9.13980,4.07957,0.03923,9.02212,5.02100
1701541470661275308,0.11768,9.17902,4.15802,0.11768,9.06134,5.02100
1701541470766691658,0.15691,9.21825,4.04034,0.07845,9.06134,5.02100
1701541470872201007,0.27459,9.06134,4.11879,0.11768,9.10057,5.02100
1701541470977543357,0.19613,9.21825,4.04034,0.07845,9.06134,5.13868
1701541471082990706,0.07845,9.13980,4.11879,0.03923,9.06134,4.98178
1701541471188365054,0.15691,9.21825,4.00111,0.07845,9.06134,5.02100
1701541471293814401,0.11768,9.17902,4.07957,0.07845,9.02212,5.06023
1701541471399189749,0.15691,9.33593,3.96189,0.11768,9.10057,5.02100
1701541471504771095,0.11768,8.94366,4.11879,0.11768,9.06134,5.02100
1701541471610165443,0.23536,9.17902,3.92266,0.15691,9.02212,5.06023
1701541471715540790,0.07845,9.13980,4.11879,0.03923,9.06134,5.02100
1701541471821098137,0.23536,9.17902,4.00111,0.11768,9.06134,5.06023
1701541471926485485,0.07845,9.13980,4.11879,0.11768,9.02212,5.06023
1701541472032120830,0.11768,9.21825,3.96189,0.11768,9.06134,5.02100
1701541472137488176,0.07845,9.13980,4.04034,0.07845,9.06134,5.09946
1701541472242855521,0.11768,9.17902,4.04034,0.07845,9.10057,5.06023
1701541472348238867,0.11768,9.13980,4.07957,0.07845,9.06134,5.02100
1701541472453722212,0.11768,9.13980,4.00111,0.07845,9.02212,5.06023
1701541472559080557,0.11768,9.13980,4.11879,0.07845,9.06134,5.02100
1701541472664445903,0.11768,9.13980,4.07957,0.07845,9.06134,5.06023
1701541472769810248,0.15691,9.13980,4.04034,0.03923,9.10057,5.06023
1701541472875184594,0.11768,9.13980,4.04034,0.07845,9.06134,5.02100
1701541472980618939,0.11768,9.17902,4.04034,0.07845,9.02212,5.09946
1701541473086001284,0.11768,9.13980,4.04034,0.07845,9.06134,5.02100
1701541473191649625,0.11768,9.13980,4.00111,0.07845,9.06134,5.02100
1701541473297016969,0.15691,9.10057,4.04034,0.07845,9.06134,5.06023
1701541473402452312,0.19613,9.13980,4.07957,0.03923,9.10057,5.06023
1701541473507863655,0.11768,9.17902,4.00111,0.07845,9.06134,5.06023
1701541473613522996,0.07845,9.17902,4.00111,0.07845,9.02212,5.02100
1701541473719775334,0.11768,9.17902,4.04034,0.11768,9.02212,5.02100
1701541473825158677,0.11768,9.13980,4.04034,0.07845,9.02212,5.02100
